,MFE,RMSE
MMM,-0.02904322257124564,0.5301272736692818
AXP,-0.009008118453379664,0.5406913212245247
AMGN,-0.005993358696260639,0.5280153135736241
AAPL,-0.03355915117764412,0.5827082011275041
BA,-0.011879418800002296,0.5800583318741824
CAT,-0.0249202432155407,0.5251995435493082
CVX,-0.011328696215854448,0.47380848774491463
CSCO,-0.04173228049735123,0.495993842961492
KO,-0.012154581166621116,0.48539511324327306
DIS,-0.03715005793661405,0.5541331241387113
DOW,-0.024508960455384973,0.47236468299539136
GS,-0.019656221038518412,0.5037784080835113
HD,-0.04564728449378075,0.5269921683175941
HON,-0.053880851131909144,0.5371843457668877
IBM,-0.016285475253134528,0.5258075863216946
INTC,-0.03239462493888874,0.5289469246622795
JNJ,0.006136589190673071,0.5351385593505235
JPM,-0.02538221068248722,0.5199165413795079
MCD,-0.015739216200314262,0.5239508159990652
MRK,-0.026977754099008024,0.5259687922166449
MSFT,-0.027177176503830898,0.5355348119569368
NKE,-0.004784669305944263,0.5128400177226168
PG,-0.011314709870308911,0.4955585783674673
CRM,-0.05327722038975519,0.5594456928018473
TRV,-0.004902222656621768,0.5133536323448291
UNH,-0.05068541730304804,0.5434604954829902
VZ,-0.03968015466698177,0.5095098864339606
V,-0.018810624886735038,0.5437417514910392
WBA,-0.006181402607121474,0.5683044709744711
WMT,-0.019940825984923173,0.5436990243488362
