date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02,0.00013197530835846267,0.00046518843479085453,0.0003675001348077224,0.0006255244314641035,0.00047532622121798385,0.0003205105450039433,6.735610555370213e-05,0.0005369977243106949,0.00022354761927099879,0.00037696247220452505,,0.00034096929359222084,0.00044821245760017815,0.001170343534722833,0.0002379005201594433,0.0006534645681398716,0.00023005136465028376,0.0006249127429404322,0.0003912330958181735,0.0004689063020139701,0.0002345794382396641,0.000266574730597334,0.00016240690595527386,,,0.00013149473842987916,0.00025986594634961794,,0.0003618302900489944,0.0002647401289571129
2003-01-03,0.00011820742296940453,0.00027640068445059385,0.00024277478637680608,0.0006359592456221828,0.00034459325981293855,0.00013969502168711799,0.00010089597346457798,0.00030411633564485864,0.00020863607434916997,0.0004660390402112688,,0.00027364463937384626,0.0014741487304618525,0.0006034392432295332,0.00019338462467185396,0.0006556942364408003,0.00018430630982090268,0.0003969845753397839,0.00036346890109357143,0.0001234822530448047,0.00019850500274659814,0.00017835633946885468,9.535076916147124e-05,,,0.00019730524693058774,0.00025039835154234676,,0.00039910005109918456,0.00031938075231395264
2003-01-06,7.558838671963622e-05,0.0004974699183932005,0.00024202140934804229,0.0006212372058104623,0.00024435514530542543,0.0001714937238711605,0.00017727902269033544,0.0002925512173947614,0.00015797363769670783,0.00027180007529672626,,0.00026877035193063084,0.00023129963381998382,0.00020764028487987074,0.000258603596771985,0.00028770567002294373,0.00010798668165099823,0.0005532178202822533,0.000189381007766932,0.0001312423876690967,0.00013108407276545895,0.0001578323922197503,0.0001050327697241842,,,0.00016334925092128958,0.000511465067049138,,0.00028545000120583646,0.00014407066362713214
2003-01-07,0.00012989504904085568,0.0004237324633818927,0.00026961704449851153,0.0006345744542771398,0.0005516935612557619,0.0001897301964508606,0.00014769225129082075,0.0005536730674474101,0.00017627098793773983,0.00045087791687132975,,0.0003610871045605721,0.00027176889079136274,0.00040747508873442207,0.0001681981263927081,0.0007143399968807926,0.0002082092068709162,0.0004412475346697307,0.0003034293121721638,0.00015689644616630294,0.00034617365821512327,9.538357052078252e-05,9.879758263693816e-05,,,0.0002299619463331188,0.00039413392816625286,,0.00025124973701840924,0.0001670173014718096
2003-01-08,5.6891099201787106e-05,0.0003383708779744443,0.00022250651262894082,0.000468583759380921,0.00022745914473460273,0.0003528946966483411,0.00012516637354826699,0.0003851581840813185,0.00018475785753738216,0.00032505602774272066,,0.00031433788749724034,0.00021427735030184178,0.0002423394234510449,0.00014234867632534104,0.0005119888702013569,0.00022567800105191907,0.0004552114715385503,0.0002594207120892985,0.00012770124913777516,0.0002613683534243529,0.000284111196594155,0.0001139026411736054,,,0.0002680300861299978,0.0004055987124233349,,0.0001257349872889747,0.00019745171211121534
2003-01-09,9.22893995281201e-05,0.00023743225995136893,0.000420300335078002,0.00039932994460040237,0.00015806539387283025,0.00028074117485101777,9.30377167482164e-05,0.00025764470367779503,0.00011429576413196017,0.0005089816334295377,,0.00012326680543216906,0.00022470464565655925,0.0002979799506221378,0.0001828564110895717,0.0004742577360213779,0.00021920800631760007,0.0002828309727431494,0.0002271469320081541,0.00016201766373698782,0.00016955476884952808,0.0001950273082501118,9.274062088708687e-05,,,0.0002661916723214622,0.0003723591389015436,,8.212561725036999e-05,0.00014297683230798654
2003-01-10,0.0001371591575353393,0.00024433573938434925,0.00030260457034155804,0.0005706537077317867,0.00039125217112183337,0.0003457424109068063,0.00011335613182101366,0.0004654256398021787,0.0001520059485606076,0.0005500953084599565,,0.00030627624217480524,0.0004821797863889838,0.00048252835347971704,0.00028556997473765084,0.0005920279886066688,0.00017136749164935105,0.0004068172337664317,0.00031424752571222557,0.00016017815175919847,0.0003465476803045684,0.00036331357718655407,0.00011922287135558609,,,0.00018412267339246613,0.00014664351618275576,,0.0002638026797532933,0.00030375597055741466
2003-01-13,0.00014024699694253375,0.0003292833255388581,0.0002127333965508434,0.0005102085693885867,0.00039477685800625426,0.00018967399559518012,0.00013938586873632583,0.00039635142504768897,0.00015260907847361913,0.00032392194071482024,,0.00020669710829626016,0.00020235352066349827,0.0003148458188104152,0.00018536966912676214,0.0004843282794479874,0.00023520176691502624,0.00033084508356829006,0.0003486238553287866,0.000126503341291323,0.0002004721710036742,0.00028050649914885975,0.00015176260768844153,,,0.0002806413961363753,0.00022776028337486242,,0.00034698929810826954,0.00024816529018054627
2003-01-14,6.525185671294619e-05,0.00019119008219830116,0.00019641821663656265,0.00062082798047224,0.0001926049612622165,0.000369257621502003,7.010734876279847e-05,0.00023905602802608254,9.276252060928068e-05,0.00032530910425823575,,0.00014381694166372863,0.00019615115277903678,0.00023272879158723245,0.00015650582024211225,0.00030938900684377904,0.0001305535393605157,0.00022946105264487533,0.0002496760213047215,8.844407516553251e-05,0.00016863893867204345,0.0001935973718923234,7.224922468352803e-05,,,6.827905297853107e-05,0.0003157493012049171,,0.00018607092093883798,0.00019089726659906383
2003-01-15,0.00011646025362823282,0.00023276471259086446,0.00021388477019519976,0.0004226955149889525,0.000240301895819553,0.0001705001892044668,6.917271289595248e-05,0.00024737938017760526,0.00017627962744552273,0.00034738924911920587,,0.00018348824898733763,0.00019991488095521469,0.00013570838965602919,0.00011399425521507864,0.0003626375959594844,0.00023448142782312052,0.0001996627641886503,0.00036999575750160807,0.00012386174505903572,0.00012562546536355884,0.0002662705314643968,0.00011237645050969628,,,9.105859469745858e-05,0.0002546615476324221,,0.00024030193606300283,0.00011937560988495397
2003-01-16,8.574505149032164e-05,0.0002966159103097267,0.0004023839848373707,0.0007489266230732177,0.0003519953041079343,0.00017265224993445188,9.155437560240725e-05,0.0003074518057257482,0.00017965204507738188,0.0006868240240311848,,0.00015957947366361224,0.00017580549838005507,0.00031828407084881505,0.00020545146531993462,0.0003610442783190906,0.00012788573788631965,0.00033326636811645803,0.0016933018913581836,0.00011744022196500553,0.00020298421347946918,0.0002790698932403206,9.279255105781253e-05,,,0.00014770780929325864,0.00028882096965575366,,0.00013809503477758172,0.00017943571480521787
2003-01-17,0.00011147898906766609,0.0002592438476975222,0.00018110477804312612,0.000509368534924971,0.0003960053210511467,0.0002103877439446363,9.357405326818765e-05,0.00040718445041792084,0.0001470761543792531,0.0007014880299892559,,0.00015874420635908184,0.0003521374230378723,0.00046582032021782213,0.0001400894312903464,0.0004302641395013697,6.537476298596422e-05,0.00024177296286824517,0.0005363756264213028,0.00016740338569928915,8.975495073118347e-05,0.0001574327130429107,8.376601991378798e-05,,,0.00021157242149372188,0.00023493896967403924,,0.00022883727987800293,6.729159397873647e-05
2003-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-21,0.0001308795963820545,0.0002364855735931583,0.00026651083582803707,0.00029591588095778134,0.0002892153179023172,0.00012573860617953535,0.0001387228653601651,0.0003744292459607205,0.00014659298951520602,0.0005577063399611998,,0.0002391647491549383,0.0004001206367579957,0.00028559374545895086,0.0002630515732815044,0.0004982664462596383,0.0003575720689177084,0.00038220517283539095,0.0002752140864890597,0.00021936011332075302,0.00017012766966795,0.00027157239687575804,7.119650639639879e-05,,,0.00014998182584120316,0.00024151280876307072,,0.00020313863547725576,0.00012855600665741834
2003-01-22,9.83923575221172e-05,0.0002367924662763725,0.0004047835110162488,0.0002883688470653968,0.00045230337739120583,0.00036952982959774863,0.00014031624839079893,0.0003931506854231215,0.0002479419183105196,0.0007100489432329389,,0.00034772919257690556,0.0003659029020382295,0.0003215318624647719,0.0002046400957659508,0.0003742345340434212,0.0002053847731043152,0.0003974996181451881,0.0004599104410690358,0.00015713996326820464,0.00025771683042795834,0.00022817827232721882,0.00015360550559133553,,,0.0003011336097786975,0.00032703679514709655,,0.00021580583671161274,0.00030257415394767753
