,MFE,RMSE
MMM,-0.014152906364347715,0.5236782509893206
AXP,-0.006418115537268653,0.5388439105494464
AMGN,-0.006874485615601817,0.5235416875668542
AAPL,-0.030714291623020494,0.5774827844683191
BA,0.0017902944600661206,0.5668669328835456
CAT,-0.012434743409748055,0.5189364903156567
CVX,-0.0049550748879606445,0.4694925219424718
CSCO,-0.03065578734361033,0.49137567808987204
KO,-0.009420933470105983,0.48328697926644526
DIS,-0.01328521329976501,0.5481859476499421
DOW,-0.03224718506422042,0.47195198990499776
GS,-0.010995147724699865,0.4975703426438574
HD,-0.020095910518783535,0.5194528814286195
HON,-0.031677925856187956,0.5288985420373339
IBM,-0.006426645521093564,0.5253272181823238
INTC,-0.0164102875947913,0.5256971025127674
JNJ,0.002611387643378057,0.5317509539636757
JPM,-0.012878262693345225,0.5153881241903602
MCD,-0.017205102369369993,0.5191756916073751
MRK,-0.020112972243387477,0.5231189750302553
MSFT,-0.010835396930370635,0.52441680710653
NKE,-0.006738211134592072,0.513879247344772
PG,-0.007864996320364918,0.4915172222257432
CRM,-0.0407682626363192,0.5521238377233685
TRV,-0.0038026080507625286,0.5058519458986471
UNH,-0.020781952634501208,0.5366280522365142
VZ,-0.02104255535904199,0.5058490028363419
V,-0.011544450255298329,0.5392749200410801
WBA,-0.001067519381687857,0.5635502344542765
WMT,-0.011904035146790181,0.5372733939798087
