,MFE,RMSE
MMM,-0.06809730136733026,0.5482818819240439
AXP,-0.054581755051079255,0.5516051515838297
AMGN,-0.022542513311090247,0.5364825277390294
AAPL,-0.10262188708341212,0.5992236018507889
BA,-0.02362405509665293,0.5985906347736852
CAT,-0.06327990811600528,0.5374323793903503
CVX,-0.0326505852971489,0.4935437456431208
CSCO,-0.10975674305371455,0.5124248291757494
KO,-0.03595222004416118,0.49537197297229113
DIS,-0.08361314255685962,0.5769578642674303
DOW,-0.0788656474411248,0.490708493820381
GS,-0.057908075253205356,0.5129967161768427
HD,-0.10945472851007418,0.5478448028298732
HON,-0.13153770831897832,0.5644208560928685
IBM,-0.03490269917123037,0.5365383008155228
INTC,-0.07220781267298876,0.5411917713063845
JNJ,0.0027107937823648708,0.5412871560415115
JPM,-0.08024739396412447,0.5284315708658472
MCD,-0.07118595610951967,0.5426068329274607
MRK,-0.07161900902379774,0.5349784617992618
MSFT,-0.051642884360675254,0.5468106332922328
NKE,-0.03235138877688363,0.5226913920828599
PG,-0.032143900417172765,0.5062269112012181
CRM,-0.13973012929112485,0.5877973700296996
TRV,-0.03590579595222697,0.5230044732308218
UNH,-0.10419456285525805,0.5654509851230649
VZ,-0.08918868627144873,0.5229191941586927
V,-0.06392372783942818,0.56213897328874
WBA,-0.02498420491193586,0.5821537817890181
WMT,-0.054391529813611145,0.5531492370313541
